IMAGE                                              ID             DISK USAGE   CONTENT SIZE   EXTRA
authzed/spicedb:latest                             997da46ac025        143MB           33MB        
darthsim/imgproxy:latest                           5dce1ca5f175        312MB           79MB        
ghcr.io/trufflesecurity/trufflehog:latest          e0ac39d4854b        110MB         45.8MB        
minio/minio:RELEASE.2024-01-31T20-20-33Z           4092433a77e5        207MB           53MB        
pgvector/pgvector:pg17                             1a20228d87a4        626MB          158MB        
postgres:15                                        5f07e69ced9e        633MB          164MB        
postgres:16-alpine                                 23e88eb049fd        395MB          111MB        
postgres:17-alpine                                 ff4ccc02b97e        399MB          112MB        
redis:7-alpine                                     ee64a64eaab6       61.2MB         17.7MB        
temporalio/admin-tools:latest                      a3a52e6ca122        791MB          210MB        
university_ecosystem-backend:latest                7587d622bb93        963MB          257MB        
university_ecosystem-frontend:latest               82f3f72d5e29       93.3MB         25.7MB        
university_ecosystem-migrations:latest             75f74af9fc89        963MB          257MB        
university_ecosystem-notifications-worker:latest   35a25c614f8c        963MB          257MB        
university_ecosystem-rust-optimizer:latest         3329717ff177        119MB         29.7MB        
university_ecosystem-tests:latest                  fd6ffe849a33       3.72GB          827MB        
